Gamma,HD,MD,LD,Mixed
20,63.94709205349581,32.378776890098976,5.4673544448452835,33.18941044170626
40,72.671361213061,37.104287163130806,6.5832124788328965,37.9878015201373
60,82.27647258523925,42.32497878526157,7.814738884843789,43.29013085285487
80,92.49054406884649,47.87757642561028,9.139390476820902,48.91848369847176
100,102.60168554678701,53.36759076411304,10.434048513569273,54.49659344258219
