Gamma,HD,MD,LD,Mixed
20,0.003628876450593282,0.00034476060471167635,1.3323088294895553,0.17574928312214536
40,-0.000358768598236922,0.00027330472249476566,1.2779492724186035,0.17118581827388651
60,-0.00038177996846558654,-0.00025431210671767634,1.2134177088239952,0.16477694193019526
80,0.00037030308624659265,0.0007644654598333722,1.1921629436100338,0.15470990931660522
100,-0.0005362130265252717,-0.00044448371413618527,1.097362398626464,0.14337493920293665
